"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 10, 2009","172.01","172.61","174.78","169.89","333.14M","1.49%"
"Apr 09, 2009","169.48","164.13","169.73","163.84","330.92M","4.18%"
"Apr 08, 2009","162.68","166.30","166.71","162.46","227.34M","-3.36%"
"Apr 07, 2009","168.34","168.30","169.14","166.41","241.35M","-0.17%"
"Apr 06, 2009","168.62","168.21","171.42","168.17","290.26M","0.90%"
"Apr 03, 2009","167.11","167.65","168.36","165.86","240.61M","0.56%"
"Apr 02, 2009","166.18","163.30","166.45","162.55","277.90M","3.56%"
"Apr 01, 2009","160.46","158.02","161.22","156.24","211.04M","2.20%"
"Mar 31, 2009","157.01","157.31","160.33","156.86","174.30M","0.50%"
"Mar 30, 2009","156.23","161.89","162.64","156.20","188.23M","-3.36%"
"Mar 27, 2009","161.66","162.71","163.98","161.09","258.37M","-0.35%"
"Mar 26, 2009","162.22","159.69","162.28","158.45","222.19M","1.21%"
"Mar 25, 2009","160.28","158.69","160.28","157.93","169.76M","0.45%"
"Mar 24, 2009","159.56","159.94","160.03","157.21","193.18M","2.01%"
"Mar 23, 2009","156.42","153.69","156.80","153.61","163.47M","2.52%"
"Mar 20, 2009","152.58","151.90","154.05","151.59","138.34M","0.71%"
"Mar 19, 2009","151.51","154.21","155.12","151.01","177.54M","-0.90%"
"Mar 18, 2009","152.89","153.84","153.84","151.09","182.12M","0.47%"
"Mar 17, 2009","152.17","149.08","152.60","148.05","214.81M","3.52%"
"Mar 16, 2009","147.00","147.11","149.46","146.12","164.72M","-0.20%"
"Mar 13, 2009","147.29","149.06","150.54","147.21","204.41M","-0.49%"
"Mar 12, 2009","148.02","147.38","148.19","144.94","195.94M","0.28%"
"Mar 11, 2009","147.60","146.93","147.70","146.30","217.75M","3.41%"
"Mar 10, 2009","142.73","138.40","143.40","138.37","207.36M","1.95%"
"Mar 09, 2009","140.00","139.61","140.80","137.22","123.32M","1.57%"
"Mar 06, 2009","137.83","135.35","138.45","135.32","116.31M","-0.30%"
"Mar 05, 2009","138.25","139.35","140.29","137.15","151.85M","0.03%"
"Mar 04, 2009","138.21","132.77","138.71","131.22","150.51M","3.31%"
