"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 06, 2018","7,920.14","7,911.69","7,956.42","7,851.33","-","0.11%"
"Jul 05, 2018","7,911.69","7,986.44","7,986.44","7,886.73","-","-0.94%"
"Jul 04, 2018","7,986.44","7,954.81","8,007.64","7,954.81","-","0.40%"
"Jul 03, 2018","7,954.81","7,977.62","8,070.16","7,941.24","-","-0.29%"
"Jul 02, 2018","7,977.62","8,016.64","8,066.00","7,977.62","-","-0.49%"
"Jun 29, 2018","8,016.64","7,851.45","8,016.64","7,851.45","-","2.10%"
"Jun 28, 2018","7,851.45","7,882.09","7,891.24","7,821.15","-","-0.39%"
"Jun 27, 2018","7,882.09","7,916.91","7,962.19","7,882.00","-","-0.44%"
"Jun 26, 2018","7,916.91","7,969.61","7,969.61","7,852.75","-","-0.66%"
"Jun 25, 2018","7,969.61","8,089.62","8,089.62","7,968.49","-","-1.48%"
"Jun 22, 2018","8,089.62","8,102.14","8,102.14","8,014.21","-","-0.15%"
"Jun 21, 2018","8,102.14","8,097.05","8,152.34","8,097.05","-","0.06%"
"Jun 20, 2018","8,097.05","8,054.49","8,138.27","8,008.84","-","0.53%"
"Jun 19, 2018","8,054.49","8,228.69","8,228.69","8,050.21","-","-2.12%"
"Jun 15, 2018","8,228.69","8,151.36","8,229.50","8,111.90","-","0.95%"
"Jun 14, 2018","8,151.36","8,311.76","8,311.76","8,151.36","-","-1.93%"
"Jun 13, 2018","8,311.76","8,250.28","8,312.09","8,242.73","-","0.75%"
"Jun 12, 2018","8,250.28","8,251.79","8,251.79","8,191.17","-","-0.02%"
"Jun 11, 2018","8,251.79","8,269.58","8,283.69","8,224.59","-","-0.22%"
"Jun 08, 2018","8,269.58","8,364.17","8,364.17","8,239.02","-","-1.13%"
"Jun 07, 2018","8,364.17","8,314.51","8,364.17","8,293.15","-","0.60%"
"Jun 06, 2018","8,314.51","8,247.77","8,321.11","8,247.77","-","0.81%"
"Jun 05, 2018","8,247.77","8,250.00","8,268.32","8,204.54","-","-0.03%"
"Jun 04, 2018","8,250.00","8,104.79","8,250.00","8,104.79","-","1.79%"
"Jun 01, 2018","8,104.79","8,043.39","8,115.86","8,043.39","-","0.76%"
"May 31, 2018","8,043.39","8,020.38","8,077.55","8,020.38","-","0.29%"
"May 30, 2018","8,020.38","8,151.28","8,151.28","8,006.58","-","-1.61%"
"May 29, 2018","8,151.28","8,182.20","8,182.20","8,118.93","-","-0.38%"
"May 28, 2018","8,182.20","8,152.75","8,203.32","8,152.75","-","0.36%"
"May 25, 2018","8,152.75","8,141.82","8,182.88","8,123.31","-","0.13%"
"May 24, 2018","8,141.82","8,106.60","8,150.79","8,105.87","-","0.43%"
"May 23, 2018","8,106.60","8,150.85","8,201.79","8,106.60","-","-0.54%"
"May 22, 2018","8,150.85","8,177.13","8,237.90","8,150.85","-","-0.32%"
"May 21, 2018","8,177.13","8,059.12","8,193.05","8,059.12","-","1.46%"
"May 18, 2018","8,059.12","8,071.18","8,117.34","8,055.11","-","-0.15%"
"May 17, 2018","8,071.18","8,153.17","8,174.67","8,071.18","-","-1.01%"
"May 16, 2018","8,153.17","8,145.39","8,164.58","8,119.48","-","0.10%"
"May 15, 2018","8,145.39","8,215.90","8,235.51","8,141.52","-","-0.86%"
"May 14, 2018","8,215.90","8,139.75","8,232.74","8,139.75","-","0.94%"
"May 11, 2018","8,139.75","8,039.48","8,149.54","8,039.48","-","1.25%"
"May 10, 2018","8,039.48","8,005.70","8,059.16","8,005.70","-","0.42%"
"May 09, 2018","8,005.70","7,995.71","8,053.95","7,993.90","-","0.12%"
"May 08, 2018","7,995.71","7,908.33","7,995.71","7,907.04","-","1.10%"
